	gender	gender	age	age	age	age	org	org
D0754	0.9961	0.0039	0.054000000000000006	0.3039	0.541	0.1011	0.9999	0.0001
D0677	0.0017	0.9983	0.0163	0.6845	0.2536	0.0457	0.9999	0.0001
D0240	0.7633	0.2367	0.2597	0.5396	0.0654	0.1353	1.0	0.0
D1027	0.0217	0.9783	0.0475	0.2013	0.6831	0.0681	1.0	0.0
D0960	0.9690000000000001	0.031	0.1992	0.4369	0.0713	0.2926	0.9999	0.0001
D1009	0.0539	0.9461	0.0025	0.0037	0.9678	0.026000000000000002	0.9957	0.0043
D0727	0.9806	0.0194	0.6014	0.3037	0.0825	0.0124	0.5865	0.4135
D1086	0.2364	0.7636	0.3141	0.5345	0.0902	0.0612	0.1714	0.8286
D0726	0.6199	0.3801	0.3133	0.5219	0.1422	0.0226	0.9991	0.0009
D1140	0.9981	0.0019	0.1539	0.3209	0.2482	0.2771	0.9975	0.0025
D0216	0.0058	0.9942	0.5968	0.2197	0.1797	0.0038	1.0	0.0
D1107	0.0034	0.9966	0.0002	0.0008	0.9972	0.0018	0.9999	0.0001
D0936	0.0394	0.9606	0.1664	0.8315	0.0016	0.0006	1.0	0.0
D0627	0.0277	0.9723	0.2003	0.6398	0.1262	0.0337	0.9986	0.0014
D1016	0.08900000000000001	0.9109999999999999	0.9695	0.0278	0.0013	0.0014	1.0	0.0
D1112	0.0117	0.9883	0.3835	0.6119	0.0015	0.0032	1.0	0.0
D0851	0.5471	0.4529	0.6165	0.3657	0.0121	0.0057	0.9992	0.0008
D1071	0.1896	0.8104	0.0608	0.9007	0.023	0.0155	0.9998	0.0002
D0459	0.9124	0.0876	0.0864	0.8649	0.0336	0.0151	1.0	0.0
D1080	0.995	0.005	0.1304	0.3959	0.1086	0.3651	0.9981	0.0019
D1050	0.0447	0.9553	0.4069	0.5429	0.0429	0.0073	1.0	0.0
D1178	0.0305	0.9695	0.667	0.2852	0.0181	0.0297	1.0	0.0
D1097	0.0597	0.9403	0.0583	0.7383	0.1586	0.0449	1.0	0.0
D0678	0.0133	0.9867	0.0646	0.7401	0.1206	0.0747	0.9997	0.0003
D0603	0.1047	0.8953	0.139	0.8503	0.0063	0.0044	0.9999	0.0001
D0498	0.0261	0.9739	0.4047	0.5587	0.0309	0.0057	0.9733	0.0267
D0572	0.0099	0.9901	0.1155	0.1015	0.7752	0.0078	1.0	0.0
D0607	0.0297	0.9703	0.222	0.7147	0.057999999999999996	0.0053	1.0	0.0
D0457	0.0157	0.9843	0.0898	0.5957	0.2926	0.0218	0.1503	0.8497
D0528	0.044000000000000004	0.956	0.1508	0.8467	0.0016	0.0009	1.0	0.0
D0586	0.9994	0.0006	0.0122	0.5321	0.4495	0.0062	1.0	0.0
D1025	0.0059	0.9941	0.0201	0.7003	0.2721	0.0074	0.9998	0.0002
D0109	0.0016	0.9984	0.0223	0.0453	0.7758	0.1566	0.9984	0.0016
D0920	0.0998	0.9002	0.1071	0.8915	0.0009	0.0005	1.0	0.0
D1204	0.9997	0.0003	0.0	0.0	0.9999	0.0001	0.9999	0.0001
D0743	0.0002	0.9998	0.0	0.0002	0.9988	0.0009	1.0	0.0
D0445	0.0055	0.9945	0.0336	0.9507	0.0045	0.0112	1.0	0.0
D0456	0.0053	0.9947	0.1878	0.8103	0.0012	0.0007	0.9999	0.0001
D0131	0.19399999999999998	0.8059999999999999	0.1289	0.6247	0.0932	0.1532	0.9934	0.0066
D1052	0.0659	0.9341	0.7368	0.2543	0.0068	0.0022	1.0	0.0
D0732	0.7663	0.2337	0.0544	0.2543	0.4007	0.2907	0.0432	0.9568
D1066	0.9628	0.0372	0.07200000000000001	0.0421	0.0095	0.8764	0.0277	0.9723
D1004	0.6474	0.3526	0.7627	0.2297	0.0003	0.0074	0.9986	0.0014
D0482	0.0058	0.9942	0.0011	0.0171	0.9767	0.0051	1.0	0.0
D1013	0.0145	0.9855	0.057999999999999996	0.1976	0.1689	0.5755	0.9999	0.0001
D1162	0.9706	0.0294	0.0854	0.7998	0.1075	0.0073	0.9953	0.0047
D1058	0.0007	0.9993	0.013999999999999999	0.0897	0.0555	0.8408	0.9639	0.0361
D0658	0.9994	0.0006	0.0602	0.4889	0.4227	0.0281	1.0	0.0
D0998	0.0048	0.9952	0.3221	0.6385	0.0048	0.0346	1.0	0.0
D0731	0.4618	0.5382	0.0023	0.951	0.0456	0.0011	1.0	0.0
D0812	0.04	0.96	0.91	0.0887	0.0008	0.0005	0.9999	0.0001
D0840	0.001	0.9990000000000001	0.0001	0.0023	0.9975	0.0001	1.0	0.0
D0574	0.0199	0.9801	0.2209	0.4784	0.0143	0.2864	0.9981	0.0019
D0577	0.9998	0.0002	0.0169	0.1047	0.8626	0.0159	1.0	0.0
D0460	0.9961	0.0039	0.1058	0.7155	0.1295	0.0492	0.9999	0.0001
D0581	0.0012	0.9988	0.0011	0.0277	0.9084	0.0628	0.9990000000000001	0.001
D0066	0.9997	0.0003	0.0011	0.0008	0.0034	0.9947	0.9991	0.0009
D0679	0.0015	0.9985	0.0202	0.1191	0.8189	0.0418	1.0	0.0
D0592	0.0077	0.9923	0.0017	0.0063	0.9269	0.0651	0.9999	0.0001
D0739	0.0071	0.9929	0.3091	0.6779	0.0096	0.0034	1.0	0.0
D1001	0.0091	0.9909	0.8075	0.1889	0.0026	0.001	0.5502	0.4498
D1131	0.1849	0.8151	0.9239	0.0738	0.0011	0.0012	0.9998	0.0002
D1108	0.1536	0.8464	0.2076	0.3053	0.4578	0.0293	0.9898	0.0102
D0688	0.0008	0.9992	0.4517	0.4659	0.0549	0.0275	0.9979	0.0021
D0545	0.0754	0.9246	0.615	0.3739	0.0095	0.0016	1.0	0.0
D0929	0.7787	0.2213	0.9161	0.0819	0.0004	0.0017	0.9993	0.0007
D0544	0.0039	0.9961	0.2565	0.7394	0.0017	0.0024	1.0	0.0
D0891	0.0079	0.9921	0.0036	0.2496	0.7368	0.0101	1.0	0.0
D1015	0.0022	0.9978	0.0293	0.4004	0.5493	0.021	0.9993	0.0007
D0478	0.0159	0.9841	0.0761	0.9229	0.0008	0.0002	1.0	0.0
D0855	0.0907	0.9093	0.2772	0.61	0.0852	0.0275	1.0	0.0
D0967	0.9575	0.0425	0.6572	0.2578	0.0751	0.0099	0.9659	0.0341
D0708	0.9304	0.0696	0.2356	0.2406	0.0532	0.4706	0.3837	0.6163
D0019	0.0026	0.9974	0.0072	0.0804	0.8989	0.0135	1.0	0.0
D1143	0.8157	0.1843	0.0005	0.0013	0.0076	0.9906	0.9994	0.0006
D0563	0.0046	0.9954	0.1074	0.8306	0.0608	0.0011	1.0	0.0
D1181	0.0071	0.9929	0.1295	0.5809	0.2209	0.0687	0.9996	0.0004
D1139	0.9283	0.0717	0.0011	0.0012	0.0042	0.9935	0.9567	0.0433
D0455	0.0412	0.9588	0.6667	0.3251	0.0045	0.0037	1.0	0.0
D0621	0.0515	0.9485	0.2476	0.7407	0.0003	0.0114	1.0	0.0
D0944	0.2043	0.7957	0.1425	0.2354	0.1403	0.4818	0.9953	0.0047
D0779	0.2527	0.7473	0.2138	0.4413	0.0541	0.2908	0.0461	0.9539
D0284	0.0493	0.9507	0.5724	0.4205	0.0052	0.002	1.0	0.0
D0449	0.0962	0.9038	0.8793	0.1151	0.0039	0.0017	0.9992	0.0008
D0906	0.0008	0.9992	0.2142	0.6858	0.0537	0.0463	0.9998	0.0002
D0388	0.3549	0.6451	0.4905	0.4961	0.0045	0.0088	0.9998	0.0002
D0685	0.004	0.996	0.0253	0.4925	0.0272	0.4551	1.0	0.0
D1105	0.4678	0.5322	0.3312	0.5891	0.046	0.0337	1.0	0.0
D1075	0.8877	0.1123	0.0897	0.4391	0.4221	0.049	1.0	0.0
D1123	0.6777	0.3223	0.7613	0.0497	0.0439	0.1451	0.0564	0.9436
D0656	0.4022	0.5978	0.2321	0.6918	0.0051	0.071	0.9998	0.0002
D0934	0.0041	0.9959	0.5796	0.3896	0.0264	0.0044	0.9999	0.0001
D0949	0.001	0.9990000000000001	0.0056	0.0824	0.9035	0.0085	0.9940000000000001	0.006
D0583	0.0042	0.9958	0.0008	0.0269	0.9719	0.0004	1.0	0.0
D1179	0.2329	0.7671	0.7805	0.2094	0.0068	0.0033	0.9999	0.0001
D0706	0.0426	0.9574	0.9208	0.013000000000000001	0.0001	0.0661	0.9997	0.0003
D0962	0.0239	0.9761	0.0431	0.8653	0.0893	0.0023	1.0	0.0
D0634	0.1954	0.8046	0.7317	0.2579	0.0036	0.0068	1.0	0.0
D0826	0.9986	0.0014	0.0022	0.0082	0.0114	0.9782	0.9795	0.0205
D1022	0.0896	0.9104	0.9805	0.0194	0.0	0.0	0.9992	0.0008
D0980	0.9968	0.0032	0.0099	0.0083	0.0098	0.9719	0.9996	0.0004
D1120	0.1029	0.8971	0.9246	0.0712	0.0032	0.001	1.0	0.0
D0950	0.0563	0.9437	0.284	0.6624	0.0389	0.0148	1.0	0.0
D0458	0.9028	0.0972	0.5149	0.4464	0.0185	0.0202	1.0	0.0
D0650	0.9998	0.0002	0.0409	0.025	0.3313	0.6028	0.7152	0.2848
D0501	0.9802	0.0198	0.2427	0.5397	0.2032	0.0143	1.0	0.0
D0613	0.7191	0.2809	0.1746	0.2393	0.0793	0.5067	0.9127	0.0873
D0536	0.0065	0.9935	0.0021	0.9958	0.0009	0.0012	1.0	0.0
D0839	0.0014	0.9986	0.0018	0.9638	0.0304	0.0041	1.0	0.0
D0808	0.7839	0.2161	0.1773	0.5105	0.307	0.0052	0.9999	0.0001
D0908	0.6856	0.3144	0.0138	0.0623	0.0262	0.8977	0.026000000000000002	0.9740000000000001
D0564	0.9881	0.0119	0.0101	0.1507	0.0816	0.7576	0.9997	0.0003
D0955	0.0116	0.9884	0.1277	0.8624	0.0045	0.0054	1.0	0.0
D0982	0.3743	0.6257	0.78	0.2114	0.0077	0.0009	0.9995	0.0005
D1116	0.9863	0.0137	0.2359	0.6818	0.0649	0.0173	0.9981	0.0019
D1099	0.485	0.515	0.0727	0.4647	0.3737	0.0888	0.9991	0.0009
D0894	0.9953	0.0047	0.5129	0.2715	0.0802	0.1354	0.9125	0.0875
D0819	0.5287	0.4713	0.2189	0.5703	0.18600000000000003	0.0248	0.9964	0.0036
D0942	0.937	0.063	0.3884	0.4813	0.07	0.0603	0.9999	0.0001
D0486	0.0157	0.9843	0.7309	0.2689	0.0001	0.0001	1.0	0.0
D0806	0.0015	0.9985	0.1137	0.6958	0.1843	0.0062	1.0	0.0
D0811	0.6201	0.3799	0.0933	0.4689	0.2187	0.21899999999999997	0.8459	0.1541
D0191	0.0006	0.9994	0.0001	0.0036	0.9944	0.0019	0.9998	0.0002
D0537	0.0004	0.9996	0.0002	0.6990000000000001	0.3005	0.0003	1.0	0.0
D0786	0.0817	0.9183	0.6211	0.3753	0.0007	0.0028	1.0	0.0
D0822	0.9987	0.0013	0.0008	0.0023	0.9876	0.0093	0.9977	0.0023
D0547	1.0	0.0	0.0083	0.0645	0.0781	0.8491	0.2394	0.7606
D0520	0.9457	0.0543	0.3988	0.42700000000000005	0.1661	0.0081	0.9983	0.0017
D0682	0.0669	0.9331	0.9083	0.0778	0.0123	0.0016	1.0	0.0
D0859	0.9974	0.0026	0.0017	0.9969	0.0011	0.0003	1.0	0.0
D0604	0.045	0.955	0.4449	0.4426	0.1047	0.0078	1.0	0.0
D0489	0.0219	0.9781	0.0421	0.9561	0.0003	0.0015	1.0	0.0
D0508	0.012	0.988	0.0098	0.027999999999999997	0.0131	0.9492	0.0905	0.9095
D1191	0.1219	0.8781	0.4754	0.4131	0.0962	0.0152	0.9995	0.0005
D0504	0.0344	0.9656	0.8944	0.1034	0.0013	0.0009	1.0	0.0
D0502	0.0009	0.9991	0.0162	0.0677	0.0348	0.8813	0.4917	0.5083
D0671	0.0009	0.9991	0.0096	0.9754	0.0149	0.0001	1.0	0.0
D1142	0.0392	0.9608	0.7596	0.2376	0.0005	0.0022	1.0	0.0
D0761	0.9964	0.0036	0.0024	0.0051	0.0029	0.9897	1.0	0.0
D0667	0.0058	0.9942	0.0079	0.3782	0.5751	0.0388	1.0	0.0
D0991	0.9992	0.0008	0.0027	0.2591	0.6026	0.1357	1.0	0.0
D0316	0.0082	0.9918	0.302	0.6823	0.0124	0.0033	1.0	0.0
D0367	0.0033	0.9967	0.0992	0.8747	0.0175	0.0086	1.0	0.0
D0532	0.9959	0.0041	0.3252	0.4267	0.1782	0.0699	1.0	0.0
D1088	0.7174	0.2826	0.0209	0.1544	0.1902	0.6344	0.0099	0.9901
D0809	0.9999	0.0001	0.0091	0.1876	0.2413	0.562	1.0	0.0
D0888	0.9508	0.0492	0.3441	0.6109	0.0067	0.0383	0.9984	0.0016
D1044	0.2293	0.7707	0.0429	0.8993	0.0458	0.012	0.9998	0.0002
D0610	0.002	0.998	0.0116	0.1003	0.8579	0.0302	1.0	0.0
D0976	0.7069	0.2931	0.8507	0.1404	0.0062	0.0027	1.0	0.0
D0903	0.002	0.998	0.0142	0.0493	0.1788	0.7577	0.9995	0.0005
D0943	0.9886	0.0114	0.5392	0.3718	0.0721	0.0169	0.9999	0.0001
D0468	0.0072	0.9928	0.166	0.7769	0.0379	0.0192	1.0	0.0
D1065	0.1768	0.8232	0.1583	0.6256	0.2053	0.0107	1.0	0.0
D1019	0.0015	0.9985	0.9863	0.0131	0.0001	0.0006	1.0	0.0
D0874	0.0521	0.9479	0.0028	0.0211	0.0061	0.9701	1.0	0.0
D0963	0.0043	0.9957	0.7119	0.1713	0.0859	0.0308	1.0	0.0
D0854	0.0053	0.9947	0.0009	0.0055	0.9197	0.0739	0.9999	0.0001
D0499	0.9999	0.0001	0.0069	0.0165	0.3464	0.6302	0.9987	0.0013
D0961	0.9962	0.0038	0.0036	0.0146	0.9784	0.0034	1.0	0.0
D1194	0.0226	0.9774	0.4239	0.37	0.2	0.0061	0.9999	0.0001
D0668	0.9867	0.0133	0.3006	0.6495	0.0332	0.0167	1.0	0.0
D1202	0.9992	0.0008	0.0816	0.1497	0.0513	0.7174	0.9999	0.0001
D0746	0.0084	0.9916	0.2125	0.7747	0.0075	0.0053	1.0	0.0
D0941	0.0012	0.9988	0.0016	0.9971	0.0011	0.0002	1.0	0.0
D0644	0.0522	0.9478	0.2325	0.7646	0.0025	0.0004	1.0	0.0
D1190	0.9503	0.0497	0.3051	0.6438	0.0355	0.0155	0.996	0.004
D0718	0.1118	0.8882	0.3576	0.6178	0.0157	0.0088	0.9999	0.0001
D0590	0.0358	0.9642	0.8055	0.1931	0.0013	0.0002	1.0	0.0
D0589	0.9974	0.0026	0.0018	0.0049	0.0033	0.99	0.9997	0.0003
D0106	0.9890000000000001	0.011000000000000001	0.1797	0.4471	0.3629	0.0103	1.0	0.0
D0959	0.978	0.022000000000000002	0.0837	0.8797	0.0303	0.0063	1.0	0.0
D0549	0.0155	0.9845	0.3173	0.6508	0.0265	0.0054	1.0	0.0
D0515	0.0016	0.9984	0.2387	0.7478	0.0055	0.0081	1.0	0.0
D0483	0.0002	0.9998	0.0003	0.0298	0.9670000000000001	0.0028	1.0	0.0
D0646	0.9795	0.0205	0.2207	0.4246	0.1557	0.19899999999999998	0.9999	0.0001
D0516	0.0027	0.9973	0.0002	0.0006	0.0017	0.9976	0.9998	0.0002
D1031	0.027999999999999997	0.972	0.3887	0.475	0.0856	0.0507	0.9990000000000001	0.001
D1186	0.9875	0.0125	0.3565	0.5955	0.0374	0.0106	0.9994	0.0006
D0945	0.223	0.777	0.513	0.4567	0.0106	0.0197	0.9996	0.0004
D0823	0.0355	0.9645	0.1605	0.7611	0.0453	0.033	0.9999	0.0001
D0788	0.9987	0.0013	0.0511	0.7707	0.1591	0.0191	1.0	0.0
D0817	0.7191	0.2809	0.1746	0.2393	0.0793	0.5067	0.9127	0.0873
D0938	0.9884	0.0116	0.0622	0.6409999999999999	0.2847	0.012	1.0	0.0
D0594	0.0015	0.9985	0.0426	0.9488	0.0068	0.0018	1.0	0.0
D0876	0.0236	0.9764	0.5128	0.4831	0.0017	0.0025	1.0	0.0
D1201	0.0568	0.9432	0.1319	0.8026	0.0504	0.0151	0.9983	0.0017
D0892	0.1063	0.8937	0.5236	0.42	0.0335	0.0228	0.9968	0.0032
D0588	0.0906	0.9094	0.1663	0.7808	0.0351	0.0178	0.9998	0.0002
D0648	0.1287	0.8713	0.1283	0.4012	0.0998	0.3706	0.8854	0.1146
D0584	0.9727	0.0273	0.0044	0.0299	0.2043	0.7614	0.0761	0.9239
D0813	0.9887	0.0113	0.0234	0.0551	0.139	0.7825	0.9978	0.0022
D0221	0.0047	0.9953	0.0886	0.5879	0.2723	0.0512	0.3721	0.6279
D0951	0.0033	0.9967	0.1757	0.8047	0.0157	0.0038	1.0	0.0
D0947	0.9998	0.0002	0.0147	0.0408	0.9305	0.013999999999999999	1.0	0.0
D0983	0.1762	0.8238	0.3331	0.598	0.0079	0.0611	1.0	0.0
D0557	0.0032	0.9968	0.6468	0.3478	0.0031	0.0023	1.0	0.0
D0469	0.0151	0.9849	0.0222	0.9727	0.0028	0.0022	1.0	0.0
D0598	0.2313	0.7687	0.8952	0.0796	0.0076	0.0175	1.0	0.0
D0218	0.0357	0.9643	0.3458	0.6222	0.0271	0.005	1.0	0.0
D0796	1.0	0.0	0.005	0.0545	0.6967	0.2438	1.0	0.0
D0543	0.0046	0.9954	0.0022	0.7461	0.2504	0.0014	1.0	0.0
D0981	0.8642	0.1358	0.0028	0.0009	0.0003	0.996	0.1481	0.8519
D0940	0.004	0.996	0.4683	0.5098	0.0191	0.0027	1.0	0.0
D0428	0.9987	0.0013	0.9547	0.0416	0.0031	0.0006	0.6655	0.3345
D0559	0.1287	0.8713	0.0808	0.8701	0.0204	0.0287	1.0	0.0
D0910	0.1119	0.8881	0.4458	0.5512	0.0009	0.0021	1.0	0.0
D1175	0.9958	0.0042	0.0015	0.9778	0.0083	0.0124	1.0	0.0
D0707	0.015	0.985	0.0466	0.9314	0.0152	0.0068	1.0	0.0
D1082	0.8327	0.1673	0.9826	0.0165	0.0006	0.0003	1.0	0.0
D0597	0.9869	0.0131	0.0222	0.5846	0.3328	0.0604	1.0	0.0
D0507	0.9978	0.0022	0.0125	0.129	0.4812	0.3773	0.9988	0.0012
D1117	0.0001	0.9999	0.004	0.0239	0.0734	0.8987	0.5993	0.4007
D0820	0.9998	0.0002	0.0001	0.0005	0.0445	0.9549	0.9998	0.0002
D0757	0.8843	0.1157	0.0339	0.8756	0.0801	0.0104	0.9989	0.0011
D0804	0.9943	0.0057	0.0006	0.0279	0.9572	0.0142	0.9999	0.0001
D1040	0.0991	0.9009	0.0641	0.1098	0.4206	0.4055	0.9999	0.0001
D1185	0.0035	0.9965	0.0135	0.1618	0.7263	0.0985	0.9866	0.0134
D0470	0.9712	0.0288	0.1538	0.7963	0.0224	0.0275	0.9990000000000001	0.001
D1093	0.0062	0.9938	0.2322	0.5328	0.21600000000000003	0.019	0.4564	0.5436
D1077	0.1178	0.8822	0.7043	0.2744	0.0055	0.0158	0.9998	0.0002
D0862	0.0031	0.9969	0.3528	0.6075	0.0064	0.0334	1.0	0.0
D0815	0.9721	0.0279	0.1387	0.2606	0.3108	0.2899	0.1895	0.8105
D0481	0.0156	0.9844	0.2393	0.5752	0.1352	0.0504	0.9991	0.0009
D1193	0.7045	0.2955	0.024	0.0879	0.1165	0.7716	0.8661	0.1339
D1067	0.9915	0.0085	0.0004	0.008	0.9844	0.0071	1.0	0.0
D0825	0.0151	0.9849	0.184	0.7704	0.0401	0.0055	1.0	0.0
D0611	0.0036	0.9964	0.0127	0.6956	0.2837	0.008	1.0	0.0
D0657	0.0204	0.9796	0.0104	0.0936	0.2866	0.6093	0.9996	0.0004
D0701	0.9968	0.0032	0.4688	0.4994	0.0304	0.0015	1.0	0.0
D0805	0.0025	0.9975	0.0033	0.0639	0.914	0.0188	0.9993	0.0007
D0742	0.0269	0.9731	0.3645	0.531	0.0227	0.0818	0.9989	0.0011
D0956	0.0011	0.9989	0.0126	0.0354	0.9464	0.0056	1.0	0.0
D0579	0.3638	0.6362	0.2851	0.4075	0.0748	0.2326	0.9998	0.0002
D0794	0.0016	0.9984	0.0516	0.8334	0.1083	0.0066	1.0	0.0
D0463	0.7234	0.2766	0.1631	0.6987	0.0735	0.0647	0.9998	0.0002
D0948	0.0045	0.9955	0.0328	0.9664	0.0005	0.0003	1.0	0.0
D1141	0.023	0.977	0.0469	0.8459	0.0767	0.0305	0.9999	0.0001
D0866	0.8383	0.1617	0.0499	0.0638	0.0231	0.8631	0.8923	0.1077
D0567	0.1107	0.8893	0.4369	0.5156	0.0343	0.0132	0.9997	0.0003
D1006	0.7113	0.2887	0.4202	0.5496	0.0223	0.0079	0.9998	0.0002
D0769	0.3489	0.6511	0.8233	0.1759	0.0005	0.0003	1.0	0.0
D1124	0.0031	0.9969	0.0034	0.8556	0.1396	0.0014	1.0	0.0
D0636	0.0053	0.9947	0.0002	0.9962	0.0022	0.0014	1.0	0.0
D0555	0.065	0.935	0.6838	0.3133	0.001	0.0019	1.0	0.0
D0740	0.0348	0.9652	0.7349	0.2149	0.0348	0.0154	1.0	0.0
D0831	0.0024	0.9976	0.1784	0.77	0.0383	0.0134	1.0	0.0
D0645	0.0026	0.9974	0.045	0.2785	0.5389	0.1376	1.0	0.0
D0490	0.7191	0.2809	0.1746	0.2393	0.0793	0.5067	0.9127	0.0873
D0479	0.3929	0.6071	0.2915	0.5724	0.1091	0.027000000000000003	1.0	0.0
D1149	0.0699	0.9301	0.8717	0.1266	0.0009	0.0007	1.0	0.0
D0551	0.0057	0.9943	0.1935	0.6595	0.133	0.013999999999999999	1.0	0.0
D0868	0.9967	0.0033	0.0066	0.207	0.0711	0.7153	1.0	0.0
D0615	0.0203	0.9797	0.1778	0.8043	0.0158	0.0021	1.0	0.0
D0933	0.0031	0.9969	0.0042	0.9712	0.0226	0.002	1.0	0.0
D0765	0.0277	0.9723	0.4351	0.5379	0.0197	0.0073	1.0	0.0
D1205	0.7191	0.2809	0.1746	0.2393	0.0793	0.5067	0.9127	0.0873
D0915	0.8802	0.1198	0.1342	0.5114	0.2605	0.0939	0.9994	0.0006
D0576	0.0019	0.9981	0.0011	0.0126	0.985	0.0014	1.0	0.0
D0935	0.5761	0.4239	0.0272	0.8952	0.0471	0.0305	0.9747	0.0253
D0729	0.0061	0.9939	0.0376	0.9447	0.0159	0.0018	1.0	0.0
D0875	0.004	0.996	0.067	0.5516	0.1729	0.2085	1.0	0.0
D0923	0.0241	0.9759	0.3703	0.1936	0.4159	0.0202	0.9993	0.0007
D0673	0.0004	0.9996	0.006	0.1412	0.764	0.0888	0.9999	0.0001
D0946	0.0173	0.9827	0.0445	0.5710000000000001	0.3039	0.0806	1.0	0.0
D0328	0.0194	0.9806	0.8604	0.1316	0.0052	0.0028	0.9997	0.0003
D0352	0.3325	0.6675	0.9162	0.0767	0.0012	0.0058	1.0	0.0
D1183	0.0091	0.9909	0.1665	0.7833	0.0245	0.0257	1.0	0.0
D0676	0.9991	0.0009	0.0039	0.01	0.0314	0.9547	1.0	0.0
D1192	0.44	0.56	0.0556	0.2627	0.2663	0.4155	0.0934	0.9066
D0720	0.0019	0.9981	0.8593	0.1366	0.0019	0.0022	1.0	0.0
D0770	0.0021	0.9979	0.5419	0.4125	0.0394	0.0062	1.0	0.0
D0179	0.0142	0.9858	0.0948	0.8779	0.0257	0.0016	1.0	0.0
D0895	0.0222	0.9778	0.2136	0.7156	0.0503	0.0205	1.0	0.0
D0972	0.9998	0.0002	0.0	0.0	0.0	1.0	0.9998	0.0002
D0117	0.0051	0.9949	0.0003	0.0185	0.9786	0.0025	0.9999	0.0001
D1100	0.8036	0.1964	0.9067	0.0848	0.0031	0.0055	0.9995	0.0005
D1094	0.0132	0.9868	0.6967	0.3025	0.0002	0.0005	1.0	0.0
D0760	0.005	0.995	0.2658	0.4035	0.2999	0.0308	1.0	0.0
