	gender	gender	age	age	age	age	org	org
D0580	0.9993	0.0007	0.0001	0.0003	0.0004	0.9992	0.5211	0.4789
D0628	0.0003	0.9997	0.7705	0.2277	0.0014	0.0004	1.0	0.0
D0879	0.2236	0.7764	0.7544	0.2393	0.0048	0.0016	0.9998	0.0002
D0333	0.7191	0.2809	0.1746	0.2393	0.0793	0.5067	0.9127	0.0873
D0883	0.998	0.002	0.8297	0.1359	0.0298	0.0046	0.461	0.539
D0728	0.0278	0.9722	0.0141	0.9825	0.002	0.0014	1.0	0.0
D0429	0.9969	0.0031	0.0568	0.3754	0.522	0.0459	1.0	0.0
D0608	0.0185	0.9815	0.9763	0.0231	0.0005	0.0	0.9979	0.0021
D0849	0.0083	0.9917	0.4835	0.5044	0.0078	0.0043	1.0	0.0
D1038	0.0023	0.9977	0.0045	0.0054	0.0297	0.9605	0.9997	0.0003
D1110	0.0243	0.9757	0.0317	0.6305	0.2472	0.0906	0.9998	0.0002
D1130	0.9999	0.0001	0.4918	0.4723	0.0265	0.0094	0.9994	0.0006
D0703	0.5375	0.4625	0.3669	0.6272	0.0024	0.0035	0.9996	0.0004
D0793	0.8664	0.1336	0.4403	0.4229	0.084	0.0528	0.9955	0.0045
D0602	0.0012	0.9988	0.02	0.0955	0.4369	0.4476	0.9998	0.0002
D0524	0.1632	0.8368	0.5669	0.409	0.0112	0.0128	0.9992	0.0008
D0500	0.0083	0.9917	0.0032	0.0117	0.9612	0.0239	0.9999	0.0001
D0477	0.9793	0.0207	0.2167	0.7366	0.0319	0.0148	1.0	0.0
D0937	0.0457	0.9543	0.0893	0.8919	0.0181	0.0007	1.0	0.0
D0454	0.9932	0.0068	0.0267	0.9598	0.0087	0.0048	1.0	0.0
D0111	0.998	0.002	0.3282	0.5781	0.0588	0.0349	1.0	0.0
D0846	0.7191	0.2809	0.1746	0.2393	0.0793	0.5067	0.9127	0.0873
D0767	0.0018	0.9982	0.0634	0.16399999999999998	0.4784	0.2943	0.3614	0.6386
D1168	0.9887	0.0113	0.3427	0.5820000000000001	0.0632	0.012	1.0	0.0
D0510	0.0558	0.9442	0.0308	0.9109999999999999	0.04	0.0183	0.9999	0.0001
D0464	0.9909	0.0091	0.0183	0.129	0.8459	0.0068	0.9988	0.0012
D1002	0.0403	0.9597	0.2175	0.6697	0.0985	0.0143	1.0	0.0
D1039	0.9818	0.0182	0.1683	0.7003	0.0929	0.0385	1.0	0.0
D0857	0.7876	0.2124	0.0901	0.6954	0.011000000000000001	0.2035	1.0	0.0
D1115	0.4007	0.5993	0.7442	0.255	0.0005	0.0003	1.0	0.0
D0690	0.7191	0.2809	0.1746	0.2393	0.0793	0.5067	0.9127	0.0873
D1106	0.6338	0.3662	0.3078	0.5966	0.0636	0.032	0.9997	0.0003
D0713	0.0294	0.9706	0.3972	0.5968	0.0034	0.0026	1.0	0.0
D0550	0.21	0.79	0.0066	0.1798	0.7477	0.0659	0.9999	0.0001
D0953	0.9961	0.0039	0.0077	0.0097	0.0625	0.9201	0.9937	0.0063
D1206	0.9999	0.0001	0.1782	0.3822	0.3339	0.1056	1.0	0.0
D0652	0.0087	0.9913	0.0035	0.0071	0.9863	0.0031	0.9994	0.0006
D1209	0.0011	0.9989	0.0161	0.0239	0.4511	0.5089	0.9999	0.0001
D1167	0.7896	0.2104	0.9633	0.0363	0.0	0.0004	0.9979	0.0021
D1096	0.0011	0.9989	0.8834	0.1162	0.0003	0.0001	1.0	0.0
D0631	0.0008	0.9992	0.0273	0.7543	0.1789	0.0395	0.9999	0.0001
D1114	0.9958	0.0042	0.2566	0.409	0.1704	0.16399999999999998	0.9838	0.0162
D0473	0.0213	0.9787	0.6408	0.3575	0.001	0.0008	0.9998	0.0002
D0070	0.8381	0.1619	0.4052	0.3424	0.1526	0.0998	0.9997	0.0003
D1051	0.0378	0.9622	0.0133	0.0531	0.9237	0.0098	0.9945	0.0055
D1092	0.6136	0.3864	0.633	0.2876	0.0536	0.0259	1.0	0.0
D0768	0.0082	0.9918	0.4029	0.5913	0.0051	0.0007	1.0	0.0
D0730	0.0055	0.9945	0.9299	0.0684	0.0015	0.0003	1.0	0.0
D0660	0.9947	0.0053	0.0597	0.3075	0.1462	0.4866	1.0	0.0
D0702	0.3386	0.6614	0.0543	0.3502	0.3674	0.2281	0.9994	0.0006
D1157	0.4753	0.5247	0.5291	0.3836	0.0769	0.0104	0.9999	0.0001
D0440	0.0029	0.9971	0.4699	0.5264	0.0021	0.0016	0.9984	0.0016
D0916	0.9819	0.0181	0.0019	0.0012	0.0007	0.9962	0.7048	0.2952
D0529	0.0866	0.9134	0.7645	0.2267	0.0061	0.0027	1.0	0.0
D0165	0.0156	0.9844	0.0918	0.9073	0.0007	0.0002	1.0	0.0
D0693	0.1153	0.8847	0.2968	0.6349	0.063	0.0053	0.9974	0.0026
D0816	0.0012	0.9988	0.0151	0.563	0.4185	0.0034	0.9999	0.0001
D0922	0.0464	0.9536	0.8602	0.1272	0.0093	0.0034	1.0	0.0
D0232	0.9878	0.0122	0.1154	0.6396	0.1051	0.1399	0.9999	0.0001
D0792	0.9994	0.0006	0.0848	0.1721	0.7359	0.0072	1.0	0.0
D0987	0.6857	0.3143	0.7741	0.2173	0.0076	0.0009	1.0	0.0
D0643	0.1423	0.8577	0.0279	0.2494	0.3003	0.4224	0.9956	0.0044
D0539	0.0375	0.9625	0.0669	0.9326	0.0004	0.0002	1.0	0.0
D0674	0.0536	0.9464	0.5594	0.4387	0.0005	0.0015	1.0	0.0
D0843	0.085	0.915	0.001	0.0019	0.002	0.9951	0.9994	0.0006
D0512	0.9995	0.0005	0.0003	0.0236	0.9707	0.0055	1.0	0.0
D0665	0.0012	0.9988	0.0076	0.8499	0.0478	0.0947	1.0	0.0
D0686	1.0	0.0	0.1275	0.7045	0.1416	0.0264	1.0	0.0
D0795	0.9926	0.0074	0.3133	0.595	0.0894	0.0023	1.0	0.0
D1036	0.7191	0.2809	0.1746	0.2393	0.0793	0.5067	0.9127	0.0873
D0655	0.9797	0.0203	0.19699999999999998	0.7839	0.0036	0.0154	1.0	0.0
D1084	0.9065	0.0935	0.3861	0.4992	0.0588	0.0559	0.9999	0.0001
D0522	0.0011	0.9989	0.0029	0.1686	0.6145	0.214	1.0	0.0
D0797	0.4359	0.5641	0.3723	0.5996	0.0218	0.0063	0.9984	0.0016
D0926	0.9992	0.0008	0.0002	0.0012	0.0223	0.9762	0.9993	0.0007
D0283	0.1175	0.8825	0.8845	0.1107	0.0027	0.002	0.9999	0.0001
D0505	0.0383	0.9617	0.2781	0.4261	0.2785	0.0173	0.9981	0.0019
D0151	0.1055	0.8945	0.426	0.5628	0.0065	0.0047	1.0	0.0
D0966	0.8609	0.1391	0.1269	0.6208	0.2015	0.0509	0.9994	0.0006
D1207	0.9921	0.0079	0.4352	0.4031	0.0755	0.0861	0.9997	0.0003
D0370	0.0085	0.9915	0.4024	0.5844	0.0093	0.0039	1.0	0.0
D0856	0.9975	0.0025	0.4021	0.5671	0.0239	0.0069	1.0	0.0
D0649	0.027999999999999997	0.972	0.006999999999999999	0.9902	0.0024	0.0005	0.9999	0.0001
D0865	0.2301	0.7699	0.3924	0.6048	0.0013	0.0015	1.0	0.0
D0841	0.9997	0.0003	0.0	0.0	0.0	0.9999	0.9999	0.0001
D0957	0.0029	0.9971	0.0033	0.9879	0.0076	0.0012	1.0	0.0
D0836	0.996	0.004	0.5275	0.4437	0.0237	0.005	1.0	0.0
D0484	0.0046	0.9954	0.0232	0.4022	0.4726	0.102	0.9999	0.0001
D0098	0.0028	0.9972	0.0028	0.6821	0.1768	0.1383	0.9999	0.0001
D0877	0.9988	0.0012	0.0189	0.023	0.0063	0.9517	0.9999	0.0001
D1017	0.0037	0.9963	0.0163	0.0404	0.9426	0.0007	0.9999	0.0001
D0736	0.0165	0.9835	0.2883	0.657	0.0492	0.0055	1.0	0.0
D0620	0.997	0.003	0.2081	0.4762	0.3052	0.0105	1.0	0.0
D0614	0.023	0.977	0.076	0.8746	0.0365	0.0129	1.0	0.0
D1109	0.0013	0.9987	0.0183	0.1118	0.1385	0.7314	0.9998	0.0002
D0492	0.987	0.013000000000000001	0.265	0.655	0.0371	0.0428	0.9984	0.0016
D1154	0.035	0.965	0.8972	0.0938	0.0062	0.0028	0.9598	0.0402
D0714	0.0105	0.9895	0.0474	0.6702	0.2796	0.0028	0.9999	0.0001
D0878	0.0037	0.9963	0.0371	0.2778	0.3587	0.3264	0.9996	0.0004
D0697	0.9977	0.0023	0.0086	0.9295	0.0594	0.0026	1.0	0.0
D1145	0.0007	0.9993	0.0017	0.9927	0.0052	0.0004	1.0	0.0
D0900	0.9895	0.0105	0.1827	0.5936	0.0036	0.2201	0.9999	0.0001
D0931	0.9164	0.0836	0.2941	0.6876	0.0145	0.0038	1.0	0.0
D0301	0.9966	0.0034	0.7432	0.1936	0.048	0.0151	1.0	0.0
D1132	0.0469	0.9531	0.3848	0.5092	0.0974	0.0086	0.9997	0.0003
D0452	0.9943	0.0057	0.0471	0.9168	0.0351	0.001	1.0	0.0
D0696	0.0044	0.9956	0.0993	0.8738	0.0255	0.0014	1.0	0.0
D0442	0.022000000000000002	0.978	0.1668	0.3513	0.3791	0.1028	0.0762	0.9238
D0782	0.0013	0.9987	0.0165	0.1224	0.3999	0.4613	0.9913	0.0087
D0978	0.9956	0.0044	0.7124	0.0934	0.0352	0.1589	0.915	0.085
D0496	0.0817	0.9183	0.5326	0.466	0.0011	0.0003	1.0	0.0
D1055	0.0043	0.9957	0.2636	0.715	0.0145	0.0069	1.0	0.0
D1127	0.9651	0.0349	0.8503	0.1171	0.0186	0.013999999999999999	0.778	0.222
D1113	0.0035	0.9965	0.2812	0.7052	0.0128	0.0007	1.0	0.0
D0759	0.0236	0.9764	0.7065	0.2809	0.0123	0.0002	1.0	0.0
D0472	0.7548	0.2452	0.0003	0.001	0.0004	0.9983	0.0464	0.9536
D1032	0.0733	0.9267	0.3107	0.6312	0.0454	0.0127	0.9967	0.0033
D0195	0.0035	0.9965	0.0033	0.0369	0.8331	0.1267	0.9998	0.0002
D1208	0.0029	0.9971	0.2468	0.4637	0.2831	0.0064	1.0	0.0
D0632	0.5974	0.4026	0.9059999999999999	0.0863	0.0058	0.0019	0.9999	0.0001
D0467	0.2372	0.7628	0.6281	0.3483	0.009000000000000001	0.0145	0.9998	0.0002
D0431	0.0052	0.9948	0.0284	0.9556	0.0086	0.0074	1.0	0.0
D0858	0.9973	0.0027	0.5870000000000001	0.3202	0.0752	0.0175	0.9997	0.0003
D0624	0.0068	0.9932	0.185	0.6608	0.1498	0.0044	1.0	0.0
D0990	0.9204	0.0796	0.0017	0.0045	0.0312	0.9626	0.2434	0.7566
D0847	0.0071	0.9929	0.9041	0.0892	0.0028	0.0039	0.9999	0.0001
D0497	0.0172	0.9828	0.3098	0.6776	0.0047	0.0079	1.0	0.0
D1054	0.9831	0.0169	0.0059	0.0154	0.0599	0.9188	0.1153	0.8847
D1048	0.0009	0.9991	0.1938	0.6543	0.1471	0.0048	1.0	0.0
D1042	0.9932	0.0068	0.1653	0.4935	0.2372	0.10400000000000001	1.0	0.0
D0599	0.0163	0.9837	0.1154	0.7694	0.0451	0.0701	0.9833	0.0167
D0446	0.0045	0.9955	0.0078	0.9916	0.0005	0.0001	1.0	0.0
D1007	0.3552	0.6448	0.0557	0.3302	0.2696	0.3445	0.2558	0.7442
D0833	0.0002	0.9998	0.0137	0.2699	0.7142	0.0022	1.0	0.0
D1087	0.0099	0.9901	0.0083	0.9125	0.0604	0.0189	1.0	0.0
D0801	0.0011	0.9989	0.0062	0.1322	0.4653	0.3962	0.9996	0.0004
D0870	0.6524	0.3476	0.9118	0.0874	0.0004	0.0004	0.9990000000000001	0.001
D0530	0.0047	0.9953	0.0853	0.1789	0.7232	0.0126	1.0	0.0
D0995	0.009000000000000001	0.991	0.0087	0.0367	0.1503	0.8043	0.9975	0.0025
D0791	0.0669	0.9331	0.0231	0.7546	0.2077	0.0146	1.0	0.0
D1180	0.0338	0.9662	0.5443	0.4547	0.0002	0.0009	1.0	0.0
D0672	0.9824	0.0176	0.0028	0.0625	0.7614	0.1734	1.0	0.0
D0766	0.0122	0.9878	0.2764	0.3323	0.315	0.0763	0.3037	0.6963
D0985	0.9987	0.0013	0.0053	0.5934	0.3991	0.0022	1.0	0.0
D0090	0.0365	0.9635	0.4994	0.4796	0.005	0.016	1.0	0.0
D0993	0.0076	0.9924	0.3638	0.6158	0.0148	0.0056	1.0	0.0
D0695	0.9946	0.0054	0.0001	0.0027	0.9951	0.0021	1.0	0.0
D1125	0.001	0.9990000000000001	0.0348	0.2471	0.2316	0.4865	0.9993	0.0007
D1085	0.9932	0.0068	0.1357	0.6036	0.1528	0.1078	0.7516	0.2484
D0641	0.017	0.983	0.0476	0.6978	0.2346	0.02	1.0	0.0
D1155	0.0112	0.9888	0.3637	0.4161	0.2146	0.0057	0.9999	0.0001
D0844	0.0473	0.9527	0.4241	0.5384	0.0256	0.0119	0.9998	0.0002
D0517	0.9723	0.0277	0.0001	0.0002	0.0005	0.9993	0.9999	0.0001
D1089	0.4739	0.5261	0.8091	0.1839	0.0033	0.0036	0.8597	0.1403
D0511	0.0041	0.9959	0.0029	0.0556	0.9283	0.0132	1.0	0.0
D0893	0.1367	0.8633	0.7755	0.2229	0.0008	0.0007	0.9999	0.0001
D0332	0.9136	0.0864	0.0001	0.0034	0.079	0.9175	0.5944	0.4056
D0466	0.0147	0.9853	0.011000000000000001	0.8561	0.1267	0.0061	0.9999	0.0001
D0040	0.2521	0.7479	0.6551	0.3302	0.0104	0.0043	0.9999	0.0001
D0303	0.9365	0.0635	0.2395	0.4492	0.285	0.0264	0.1215	0.8785
D0882	0.9956	0.0044	0.0177	0.9573	0.0186	0.0065	0.9991	0.0009
D1135	0.9985	0.0015	0.3152	0.3568	0.0953	0.2327	1.0	0.0
D0829	0.1993	0.8007	0.0456	0.9528	0.0012	0.0004	1.0	0.0
D0969	0.9793	0.0207	0.8206	0.1034	0.0064	0.0696	0.9502	0.0498
D1062	0.0164	0.9836	0.2425	0.3767	0.1281	0.2527	0.9989	0.0011
D0659	0.0041	0.9959	0.0824	0.9153	0.0019	0.0003	1.0	0.0
D0890	0.0046	0.9954	0.0235	0.7892	0.1088	0.0785	0.9999	0.0001
D0626	0.9751	0.0249	0.0002	0.0003	0.0002	0.9993	0.5287	0.4713
D0986	0.3208	0.6792	0.3526	0.5661	0.0539	0.0275	0.9990000000000001	0.001
D0744	0.6431	0.3569	0.1004	0.4741	0.2641	0.1614	0.0416	0.9584
D1037	0.1899	0.8101	0.1744	0.7804	0.0179	0.0273	0.9999	0.0001
D0716	0.9999	0.0001	0.0	0.0	0.0001	0.9998	0.9996	0.0004
D1061	0.2306	0.7694	0.8343	0.1644	0.0002	0.0011	1.0	0.0
D0979	0.0018	0.9982	0.0289	0.6882	0.2569	0.026000000000000002	1.0	0.0
D1169	0.0133	0.9867	0.0762	0.4207	0.4871	0.0161	1.0	0.0
D0562	0.9994	0.0006	0.1445	0.8525	0.0011	0.002	1.0	0.0
D1177	0.2743	0.7257	0.1232	0.6066	0.1366	0.1336	0.42200000000000004	0.578
D0807	0.9991	0.0009	0.0022	0.0427	0.8567	0.0984	1.0	0.0
D0447	0.2156	0.7844	0.6617	0.3185	0.0066	0.0132	0.2839	0.7161
D0506	0.1408	0.8592	0.0732	0.2903	0.2636	0.3729	0.9267	0.0733
D0161	0.0609	0.9391	0.0725	0.8737	0.0526	0.0013	1.0	0.0
D0462	0.0433	0.9567	0.8029999999999999	0.1934	0.0031	0.0005	0.9787	0.0213
D0724	0.99	0.01	0.2587	0.6165	0.1221	0.0027	1.0	0.0
D0737	0.0141	0.9859	0.1341	0.8356	0.028999999999999998	0.0013	0.9999	0.0001
D0141	1.0	0.0	0.0763	0.5667	0.248	0.109	1.0	0.0
D0738	0.0096	0.9904	0.0153	0.5719	0.2594	0.1534	0.9993	0.0007
D0873	0.0099	0.9901	0.5666	0.4322	0.0009	0.0002	1.0	0.0
D0954	0.0861	0.9139	0.2348	0.7632	0.0007	0.0013	1.0	0.0
D0828	0.0039	0.9961	0.0172	0.9685	0.0139	0.0005	1.0	0.0
D0750	0.001	0.9990000000000001	0.0024	0.0245	0.2639	0.7092	0.9997	0.0003
D0441	0.0212	0.9788	0.5748	0.4132	0.0071	0.0049	1.0	0.0
D0756	0.9983	0.0017	0.0007	0.0123	0.9841	0.003	1.0	0.0
D0997	0.9895	0.0105	0.0767	0.915	0.0029	0.0054	0.9990000000000001	0.001
D0664	0.0029	0.9971	0.0006	0.0044	0.9931	0.0019	0.9998	0.0002
D0491	0.5127	0.4873	0.0182	0.8526	0.1225	0.0066	1.0	0.0
D1156	0.0802	0.9198	0.2128	0.6556	0.1055	0.0261	0.9998	0.0002
D0558	0.0321	0.9679	0.0011	0.0017	0.8931	0.1041	0.9999	0.0001
D0556	0.9956	0.0044	0.1601	0.6182	0.146	0.0758	1.0	0.0
D1078	0.6438	0.3562	0.4589	0.4863	0.0347	0.0201	0.9999	0.0001
D0780	0.9923	0.0077	0.5836	0.2998	0.0337	0.0829	0.9984	0.0016
D0638	0.0005	0.9995	0.0707	0.696	0.2173	0.016	1.0	0.0
D1029	0.6261	0.3739	0.7589	0.2147	0.0208	0.0056	0.4993	0.5007
D0722	0.4766	0.5234	0.6202	0.3114	0.0424	0.0259	0.8894	0.1106
D0784	0.8481	0.1519	0.0083	0.9822	0.0039	0.0056	0.9998	0.0002
D0861	0.0158	0.9842	0.669	0.2491	0.0667	0.0152	0.9993	0.0007
D0970	0.9864	0.0136	0.4164	0.5601	0.01	0.0136	0.9989	0.0011
D0848	0.9778	0.0222	0.4529	0.5304	0.0127	0.004	0.9996	0.0004
D0625	0.013999999999999999	0.986	0.9828	0.017	0.0001	0.0001	1.0	0.0
D0444	0.0735	0.9265	0.6476	0.3434	0.0073	0.0017	1.0	0.0
D0897	0.6781	0.3219	0.2253	0.7258	0.0151	0.0338	0.9994	0.0006
D1200	0.6457	0.3543	0.649	0.3494	0.0014	0.0002	1.0	0.0
D0921	0.9938	0.0062	0.1314	0.7324	0.1275	0.0087	0.9995	0.0005
D0591	0.9985	0.0015	0.0011	0.0195	0.7531	0.2263	1.0	0.0
D0596	1.0	0.0	0.0041	0.0435	0.4321	0.5202	0.9999	0.0001
D0719	0.0088	0.9912	0.0481	0.8706	0.0763	0.0051	1.0	0.0
D1161	0.0018	0.9982	0.0008	0.0403	0.9196	0.0393	0.9998	0.0002
D0569	0.0212	0.9788	0.0769	0.9213	0.0012	0.0006	1.0	0.0
D1134	0.0042	0.9958	0.013999999999999999	0.8057	0.1736	0.0067	1.0	0.0
D0774	0.9991	0.0009	0.0078	0.1194	0.8641	0.0087	1.0	0.0
D1000	0.9989	0.0011	0.0006	0.3884	0.6107	0.0004	1.0	0.0
D1057	0.0074	0.9926	0.1647	0.8132	0.0189	0.0032	0.9997	0.0003
D1010	0.9823	0.0177	0.4509	0.5178	0.0037	0.0276	0.5745	0.4255
D1035	0.113	0.887	0.6205	0.3708	0.0059	0.0028	0.9999	0.0001
D0593	0.1408	0.8592	0.1178	0.602	0.2508	0.0293	0.0311	0.9689
D0264	0.0067	0.9933	0.0747	0.7527	0.1514	0.0212	0.9999	0.0001
D0203	0.9861	0.0139	0.8492	0.1474	0.0024	0.001	0.9999	0.0001
D0406	0.9975	0.0025	0.615	0.3086	0.0138	0.0627	0.9999	0.0001
D0363	0.0813	0.9187	0.4558	0.4908	0.0501	0.0033	0.9997	0.0003
D0080	0.0022	0.9978	0.0313	0.9023	0.0657	0.0007	1.0	0.0
D0244	0.0019	0.9981	0.0192	0.2679	0.662	0.0509	1.0	0.0
D0334	0.9963	0.0037	0.0983	0.7271	0.0765	0.0982	1.0	0.0
D0318	0.4439	0.5561	0.3714	0.5087	0.1031	0.0167	0.9995	0.0005
D0424	0.4199	0.5801	0.8398	0.1489	0.0097	0.0016	0.9999	0.0001
D0089	0.9989	0.0011	0.0002	0.0086	0.8311	0.1601	1.0	0.0
D0030	0.995	0.005	0.0195	0.2414	0.604	0.1351	0.9999	0.0001
D0355	0.0014	0.9986	0.3249	0.5564	0.0741	0.0446	0.9999	0.0001
D0230	0.9466	0.0534	0.0373	0.18100000000000002	0.0216	0.7601	0.9993	0.0007
D0127	0.0414	0.9586	0.1405	0.8212	0.0317	0.0066	0.9999	0.0001
D0242	0.0006	0.9994	0.0131	0.6757	0.3093	0.0019	1.0	0.0
D0028	0.0001	0.9999	0.0	0.0	0.0001	0.9999	0.9997	0.0003
D0062	0.1854	0.8146	0.0088	0.0183	0.4226	0.5502	0.9991	0.0009
D0224	0.8476	0.1524	0.0054	0.0295	0.08199999999999999	0.8831	0.6636	0.3364
D0137	0.72	0.28	0.6126	0.3394	0.0338	0.0142	0.9988	0.0012
D0420	0.0059	0.9941	0.0045	0.0074	0.0102	0.9779	0.9999	0.0001
D0108	0.86	0.14	0.1218	0.7451	0.1295	0.0036	0.9999	0.0001
D0249	0.9993	0.0007	0.062	0.36200000000000004	0.5281	0.0478	0.9998	0.0002
D0026	0.9228	0.0772	0.3697	0.1931	0.2444	0.1928	0.981	0.019
D0331	0.1963	0.8037	0.514	0.4222	0.047	0.0168	1.0	0.0
D0086	0.7714	0.2286	0.7859999999999999	0.207	0.0059	0.0011	1.0	0.0
D0119	0.0113	0.9887	0.0456	0.3482	0.1368	0.4694	0.9935	0.0065
D0052	0.0903	0.9097	0.0167	0.1258	0.8152	0.0422	0.997	0.003
D0064	0.983	0.017	0.0349	0.7649	0.1941	0.006	0.9993	0.0007
D0167	0.0063	0.9937	0.0036	0.0728	0.8733	0.0502	0.9991	0.0009
D0061	0.6346	0.3654	0.4212	0.4956	0.0551	0.0281	0.0249	0.9751
D0056	0.2594	0.7406	0.3317	0.5969	0.0556	0.0159	0.9990000000000001	0.001
D0347	0.9992	0.0008	0.0	0.0002	0.9998	0.0	1.0	0.0
D0351	0.0297	0.9703	0.3679	0.6064	0.0236	0.0021	0.9999	0.0001
D0123	0.7191	0.2809	0.1746	0.2393	0.0793	0.5067	0.9127	0.0873
D0317	0.4703	0.5297	0.442	0.5223	0.0263	0.0094	0.9996	0.0004
D0291	0.006	0.9940000000000001	0.076	0.9012	0.0115	0.0113	0.9997	0.0003
D0324	0.7191	0.2809	0.1746	0.2393	0.0793	0.5067	0.9127	0.0873
D0373	0.11900000000000001	0.8809999999999999	0.3393	0.6402	0.0107	0.0098	1.0	0.0
D0214	0.0075	0.9925	0.062	0.2894	0.3607	0.2879	0.9923	0.0077
D0432	0.1879	0.8121	0.6189	0.3651	0.0142	0.0018	1.0	0.0
D0336	0.013999999999999999	0.986	0.1462	0.5342	0.2326	0.087	1.0	0.0
D0225	0.0015	0.9985	0.0049	0.0558	0.7599	0.1794	0.9998	0.0002
D0374	0.0007	0.9993	0.0485	0.9476	0.0031	0.0007	1.0	0.0
D0143	0.0146	0.9854	0.1749	0.7477	0.0592	0.0182	1.0	0.0
D0416	0.9775	0.0225	0.2938	0.5804	0.1024	0.0235	0.6544	0.3456
D0361	0.3872	0.6128	0.3783	0.5562	0.0584	0.0071	1.0	0.0
D0298	0.0268	0.9732	0.3526	0.4308	0.1445	0.0721	1.0	0.0
D0039	0.0297	0.9703	0.3123	0.4288	0.1889	0.0701	0.9996	0.0004
D0173	0.011000000000000001	0.9890000000000001	0.3207	0.5056	0.1583	0.0155	0.9999	0.0001
D0091	0.9997	0.0003	0.0006	0.0077	0.9824	0.0093	0.8016	0.1984
D0008	0.003	0.997	0.1976	0.6312	0.0921	0.0792	1.0	0.0
D0036	0.0091	0.9909	0.5332	0.3303	0.1105	0.026000000000000002	0.9991	0.0009
D0126	0.4084	0.5916	0.0604	0.7177	0.1723	0.0496	0.9998	0.0002
