	gender	gender	age	age	age	age	org	org
D0405	0.3197	0.6803	0.4436	0.4252	0.1028	0.0284	1.0	0.0
D0288	0.0019	0.9981	0.0044	0.0133	0.9817	0.0006	1.0	0.0
D0190	0.4435	0.5565	0.2854	0.7044	0.0053	0.0049	1.0	0.0
D0079	0.5227	0.4773	0.6946	0.037000000000000005	0.2674	0.0011	0.9997	0.0003
D0166	0.0899	0.9101	0.258	0.512	0.1686	0.0614	0.998	0.002
D0154	0.7191	0.2809	0.1746	0.2393	0.0793	0.5067	0.9127	0.0873
D0043	0.0025	0.9975	0.0236	0.9154	0.0398	0.0212	1.0	0.0
D0426	0.0352	0.9648	0.0995	0.7995	0.0813	0.0196	1.0	0.0
D0227	0.991	0.009000000000000001	0.1628	0.4585	0.2135	0.1653	1.0	0.0
D0297	0.4662	0.5338	0.5218	0.4042	0.0434	0.0306	0.3203	0.6797
D0257	0.3454	0.6546	0.3714	0.5679	0.0347	0.026000000000000002	0.1783	0.8217
D0022	0.9972	0.0028	0.0218	0.909	0.068	0.0012	1.0	0.0
D0423	0.0078	0.9922	0.8602	0.1117	0.027000000000000003	0.0012	0.9999	0.0001
D0042	0.1714	0.8286	0.3978	0.5393	0.0527	0.0102	0.9990000000000001	0.001
D0193	0.9703	0.0297	0.0609	0.624	0.2584	0.0567	0.9998	0.0002
D0346	0.2136	0.7864	0.1351	0.7304	0.1054	0.0291	0.9999	0.0001
D0226	0.9955	0.0045	0.424	0.516	0.011000000000000001	0.0491	1.0	0.0
D0063	0.1798	0.8202	0.0315	0.6398	0.3091	0.0197	0.9997	0.0003
D0279	0.8341	0.1659	0.9668	0.032	0.001	0.0002	1.0	0.0
D0015	0.0113	0.9887	0.099	0.3872	0.2809	0.2329	0.9991	0.0009
D0234	0.001	0.9990000000000001	0.5707	0.4119	0.0167	0.0007	1.0	0.0
D0319	0.9897	0.0103	0.0035	0.0065	0.0382	0.9517	0.9999	0.0001
D0168	0.9934	0.0066	0.0106	0.3885	0.4937	0.1072	1.0	0.0
D0149	0.1386	0.8614	0.3343	0.598	0.0421	0.0257	0.9999	0.0001
D0057	0.7191	0.2809	0.1746	0.2393	0.0793	0.5067	0.9127	0.0873
D0421	0.078	0.922	0.4106	0.5812	0.0047	0.0036	1.0	0.0
D0389	0.3089	0.6911	0.2399	0.6432	0.0243	0.0925	0.9999	0.0001
D0176	0.0025	0.9975	0.519	0.4693	0.0063	0.0054	1.0	0.0
D0275	0.1621	0.8379	0.1154	0.6627	0.1677	0.0542	1.0	0.0
D0381	0.0072	0.9928	0.0869	0.9116	0.0011	0.0005	1.0	0.0
D0130	0.0101	0.9899	0.0061	0.9911	0.0026	0.0002	1.0	0.0
D0433	0.0714	0.9286	0.2314	0.7574	0.0052	0.006	1.0	0.0
D0038	0.0273	0.9727	0.2972	0.6622	0.0153	0.0253	0.9998	0.0002
D0311	0.1763	0.8237	0.29600000000000004	0.6104	0.0874	0.0063	0.9994	0.0006
D0031	0.0236	0.9764	0.4663	0.5214	0.0043	0.008	1.0	0.0
D0046	0.0431	0.9569	0.0642	0.9347	0.0007	0.0004	1.0	0.0
D0228	0.0034	0.9966	0.0075	0.1999	0.7918	0.0008	1.0	0.0
D0041	0.0785	0.9215	0.8403	0.1589	0.0004	0.0005	1.0	0.0
D0157	0.057	0.943	0.9445	0.0548	0.0004	0.0002	1.0	0.0
D0150	0.3013	0.6987	0.5765	0.3692	0.0333	0.021	0.9851	0.0149
D0403	0.9643	0.0357	0.0959	0.8321	0.0512	0.0209	0.9941	0.0059
D0390	0.0184	0.9816	0.0092	0.051	0.7206	0.2192	0.996	0.004
D0300	0.5307	0.4693	0.7837	0.1938	0.0115	0.011000000000000001	0.9993	0.0007
D0198	0.9959	0.0041	0.4662	0.4389	0.032	0.0629	1.0	0.0
D0144	0.1181	0.8819	0.6117	0.3872	0.0004	0.0007	1.0	0.0
D0372	0.8944	0.1056	0.0257	0.1874	0.488	0.2988	0.0932	0.9068
D0380	0.0003	0.9997	0.2827	0.7108	0.0054	0.001	1.0	0.0
D0184	0.8081	0.1919	0.7058	0.2547	0.0223	0.0172	0.9861	0.0139
D0017	0.9990000000000001	0.001	0.0035	0.0078	0.0039	0.9847	0.9945	0.0055
D0005	0.1502	0.8498	0.8039	0.1956	0.0002	0.0003	1.0	0.0
D0055	0.7191	0.2809	0.1746	0.2393	0.0793	0.5067	0.9127	0.0873
D0065	0.0063	0.9937	0.0068	0.0295	0.2319	0.7318	0.9995	0.0005
D0058	0.7191	0.2809	0.1746	0.2393	0.0793	0.5067	0.9127	0.0873
D0402	0.0127	0.9873	0.7221	0.2745	0.0028	0.0006	1.0	0.0
D0241	0.0083	0.9917	0.4199	0.5456	0.0283	0.0062	1.0	0.0
D0398	0.0233	0.9767	0.0241	0.7496	0.1705	0.0559	0.9996	0.0004
D0223	0.1151	0.8849	0.5634	0.4204	0.0064	0.0098	0.9952	0.0048
D0100	0.1006	0.8994	0.3606	0.6081	0.0239	0.0074	1.0	0.0
D0409	0.642	0.358	0.0002	0.0007	0.0002	0.9988	0.1956	0.8044
D0285	0.0053	0.9947	0.0246	0.9011	0.0639	0.0105	1.0	0.0
D0366	0.1733	0.8267	0.4025	0.4978	0.0625	0.0372	0.9964	0.0036
D0136	0.9796	0.0204	0.1525	0.7709999999999999	0.048	0.0285	0.3574	0.6426
D0001	0.0631	0.9369	0.1774	0.7794	0.0256	0.0176	0.9983	0.0017
D0134	0.7191	0.2809	0.1746	0.2393	0.0793	0.5067	0.9127	0.0873
D0353	0.0704	0.9296	0.5615	0.4183	0.0132	0.006999999999999999	1.0	0.0
D0182	0.2513	0.7487	0.1772	0.6854	0.0073	0.1301	0.9976	0.0024
D0183	0.0954	0.9046	0.7845	0.2082	0.0049	0.0025	0.9995	0.0005
D0362	0.1108	0.8892	0.5441	0.4193	0.0314	0.0052	1.0	0.0
D0133	0.1121	0.8879	0.1642	0.718	0.0966	0.0212	0.9993	0.0007
D0049	0.001	0.9990000000000001	0.001	0.0081	0.9907	0.0001	1.0	0.0
D0051	0.0012	0.9988	0.0003	0.0236	0.9751	0.001	0.9998	0.0002
D0160	0.6559	0.3441	0.9186	0.0736	0.0035	0.0043	0.9989	0.0011
D0422	0.6632	0.3368	0.4162	0.5552	0.0205	0.0082	0.9432	0.0568
D0320	0.0543	0.9457	0.7091	0.2825	0.006	0.0024	1.0	0.0
D0201	0.0436	0.9564	0.2123	0.5829	0.1555	0.0493	0.9998	0.0002
D0159	0.0132	0.9868	0.1923	0.7978	0.0057	0.0042	1.0	0.0
D0330	0.4055	0.5945	0.9570000000000001	0.0401	0.0019	0.001	0.9995	0.0005
D0382	0.9309	0.0691	0.3186	0.5906	0.0229	0.0679	0.9979	0.0021
D0085	0.001	0.9990000000000001	0.5429999999999999	0.4558	0.0006	0.0006	1.0	0.0
D0059	0.0138	0.9862	0.2886	0.6803	0.0197	0.0113	0.9994	0.0006
D0177	0.7191	0.2809	0.1746	0.2393	0.0793	0.5067	0.9127	0.0873
D0348	0.7813	0.2187	0.7929999999999999	0.1729	0.0153	0.0187	0.9988	0.0012
D0315	0.9985	0.0015	0.0968	0.3105	0.13	0.4628	0.9995	0.0005
D0050	0.001	0.9990000000000001	0.0131	0.4128	0.5493	0.0248	0.9995	0.0005
D0312	0.0641	0.9359	0.0885	0.4591	0.0388	0.4136	0.8534	0.1466
D0341	0.9997	0.0003	0.0001	0.0038	0.3343	0.6619	0.9999	0.0001
D0376	0.0256	0.9744	0.0489	0.0683	0.6793	0.2035	0.9997	0.0003
D0408	0.0153	0.9847	0.1508	0.5182	0.231	0.1	0.9951	0.0049
D0178	0.0763	0.9237	0.0596	0.3965	0.2299	0.314	1.0	0.0
D0084	0.0004	0.9996	0.0002	0.0102	0.9879	0.0018	1.0	0.0
D0003	0.9984	0.0016	0.0031	0.0111	0.0096	0.9762	0.9995	0.0005
D0009	0.008	0.992	0.4769	0.5121	0.0095	0.0015	0.9986	0.0014
D0337	0.0357	0.9643	0.0081	0.0078	0.1687	0.8153	0.9989	0.0011
D0305	0.0037	0.9963	0.0547	0.17300000000000001	0.7324	0.0399	0.9995	0.0005
D0282	0.0085	0.9915	0.0626	0.5548	0.114	0.2686	0.9999	0.0001
D0194	0.0005	0.9995	0.5026	0.0757	0.4176	0.0041	1.0	0.0
D0246	0.9990000000000001	0.001	0.3654	0.561	0.0244	0.0493	1.0	0.0
D0417	0.998	0.002	0.0044	0.0906	0.9029	0.0021	1.0	0.0
D0292	0.8868	0.1132	0.4948	0.3394	0.09699999999999999	0.0689	0.0978	0.9022
D0299	0.9982	0.0018	0.0044	0.0391	0.3669	0.5896	0.9994	0.0006
D0302	0.9965	0.0035	0.1654	0.4322	0.3915	0.0108	0.9940000000000001	0.006
D0010	0.0019	0.9981	0.0124	0.5427	0.4234	0.0214	0.9997	0.0003
D0112	0.0014	0.9986	0.0036	0.0915	0.5088	0.3961	0.9998	0.0002
D0048	0.1312	0.8688	0.7127	0.2807	0.0056	0.001	1.0	0.0
D0075	0.0006	0.9994	0.1598	0.721	0.0796	0.0396	1.0	0.0
D0277	0.812	0.188	0.8121	0.1634	0.0139	0.0106	0.9911	0.0089
D0071	0.9997	0.0003	0.0005	0.0056	0.9924	0.0015	1.0	0.0
D0172	0.8673	0.1327	0.4186	0.33299999999999996	0.2158	0.0326	0.9933	0.0067
D0113	0.0806	0.9194	0.0187	0.1944	0.7509	0.036000000000000004	0.9999	0.0001
D0310	0.2531	0.7469	0.3732	0.6073	0.0127	0.0069	0.9997	0.0003
D0261	0.0018	0.9982	0.0015	0.9468	0.0514	0.0003	1.0	0.0
D0135	0.0189	0.9811	0.0317	0.3789	0.5886	0.0009	1.0	0.0
D0083	0.8861	0.1139	0.3606	0.5428	0.0922	0.0043	1.0	0.0
D0400	0.0164	0.9836	0.4573	0.3403	0.0103	0.1921	1.0	0.0
D0410	0.1937	0.8063	0.3524	0.6365	0.0042	0.0069	0.9996	0.0004
D0047	0.0281	0.9719	0.0298	0.0878	0.8823	0.0001	1.0	0.0
D0207	0.9988	0.0012	0.6356	0.196	0.0844	0.084	0.9998	0.0002
D0309	0.1017	0.8983	0.4203	0.4931	0.0594	0.0272	0.8753	0.1247
D0073	0.6659999999999999	0.33399999999999996	0.0853	0.7558	0.1061	0.0528	1.0	0.0
D0364	0.0628	0.9372	0.1464	0.8428	0.0054	0.0054	0.9999	0.0001
D0215	0.9926	0.0074	0.5211	0.4071	0.0245	0.0473	0.9224	0.0776
D0044	0.0624	0.9376	0.3627	0.1964	0.2177	0.2232	0.8789	0.1211
D0262	0.0125	0.9875	0.4994	0.1707	0.3055	0.0243	0.9992	0.0008
D0210	0.1355	0.8645	0.313	0.6601	0.0188	0.008	1.0	0.0
D0343	0.9957	0.0043	0.1576	0.161	0.0205	0.6609	0.9993	0.0007
D0344	0.9928	0.0072	0.0754	0.441	0.4361	0.0475	0.9765	0.0235
D0254	0.7191	0.2809	0.1746	0.2393	0.0793	0.5067	0.9127	0.0873
D0413	0.0048	0.9952	0.1388	0.8067	0.0521	0.0024	1.0	0.0
D0263	0.0382	0.9618	0.4904	0.5051	0.0027	0.0018	1.0	0.0
D0202	0.0057	0.9943	0.0602	0.8923	0.0434	0.0041	1.0	0.0
D0365	0.0619	0.9381	0.9084	0.068	0.0088	0.0148	0.9999	0.0001
D0286	0.0057	0.9943	0.1668	0.491	0.0544	0.2878	1.0	0.0
D0304	0.3664	0.6336	0.9345	0.057999999999999996	0.0018	0.0057	0.993	0.006999999999999999
D0360	0.1238	0.8762	0.4777	0.5041	0.0102	0.008	0.9990000000000001	0.001
D0321	0.0025	0.9975	0.0699	0.2057	0.1186	0.6058	0.9986	0.0014
D0273	0.9913	0.0087	0.0137	0.0007	0.0006	0.985	0.9990000000000001	0.001
D0199	0.0016	0.9984	0.0002	0.0029	0.9955	0.0014	1.0	0.0
D0233	0.0568	0.9432	0.0406	0.9548	0.0033	0.0013	1.0	0.0
D0339	0.1548	0.8452	0.7237	0.2734	0.0007	0.0022	1.0	0.0
D0280	0.0481	0.9519	0.0382	0.9421	0.0039	0.0157	1.0	0.0
D0029	0.0092	0.9908	0.0495	0.9388	0.0093	0.0024	1.0	0.0
D0290	0.996	0.004	0.4822	0.5134	0.0021	0.0023	1.0	0.0
D0293	0.7191	0.2809	0.1746	0.2393	0.0793	0.5067	0.9127	0.0873
D0338	0.14400000000000002	0.856	0.7799	0.2114	0.0055	0.0032	1.0	0.0
D0069	0.9997	0.0003	0.0	0.0	0.0	1.0	0.9997	0.0003
D0236	0.3289	0.6711	0.0392	0.7718	0.1792	0.0098	0.9999	0.0001
D0152	0.0063	0.9937	0.0355	0.2818	0.3385	0.3443	0.9998	0.0002
D0078	0.9999	0.0001	0.0003	0.0015	0.0073	0.9909	1.0	0.0
D0102	0.0005	0.9995	0.1082	0.44	0.2834	0.1685	0.9996	0.0004
D0335	0.9346	0.0654	0.5956	0.3626	0.0139	0.0278	0.9956	0.0044
D0105	0.9943	0.0057	0.0066	0.1672	0.1146	0.7116	0.9997	0.0003
D0322	0.9798	0.0202	0.8859	0.0772	0.0008	0.0362	0.9932	0.0068
D0425	0.0621	0.9379	0.0611	0.3023	0.4389	0.1978	0.7058	0.2942
D0033	0.0966	0.9034	0.2589	0.3128	0.2778	0.1504	0.9777	0.0223
D0158	0.0191	0.9809	0.3518	0.5273	0.0463	0.0746	1.0	0.0
D0209	0.0561	0.9439	0.0489	0.2616	0.6565	0.033	0.9991	0.0009
D0239	0.0072	0.9928	0.011000000000000001	0.0389	0.9388	0.0113	1.0	0.0
D0116	0.0314	0.9686	0.857	0.1394	0.0028	0.0008	1.0	0.0
D0189	0.9863	0.0137	0.011000000000000001	0.5093	0.4779	0.0018	1.0	0.0
D0357	0.7191	0.2809	0.1746	0.2393	0.0793	0.5067	0.9127	0.0873
D0255	0.9275	0.0725	0.0261	0.055999999999999994	0.0361	0.8818	0.9999	0.0001
D0271	0.0289	0.9711	0.015	0.8986	0.0156	0.0708	1.0	0.0
D0148	0.0077	0.9923	0.0025	0.0709	0.9076	0.0189	0.9949	0.0051
D0007	0.0116	0.9884	0.2249	0.2658	0.0049	0.5045	1.0	0.0
D0053	0.0016	0.9984	0.4748	0.3427	0.1219	0.0607	0.9999	0.0001
D0414	0.9004	0.0996	0.042	0.0264	0.9294	0.0022	0.9999	0.0001
D0251	0.9909	0.0091	0.1316	0.6606	0.1421	0.0657	0.9999	0.0001
D0401	0.0012	0.9988	0.0161	0.2599	0.7177	0.0063	1.0	0.0
D0235	0.9777	0.0223	0.6158	0.3553	0.0246	0.0043	0.9406	0.0594
D0268	0.0229	0.9771	0.2597	0.4553	0.2271	0.0578	0.9996	0.0004
D0395	0.2161	0.7839	0.5233	0.4702	0.0057	0.0008	0.9963	0.0037
D0163	0.0107	0.9893	0.1175	0.7505	0.0931	0.0388	0.9999	0.0001
D0072	0.6281	0.3719	0.0294	0.4267	0.3541	0.1898	0.9994	0.0006
D0020	0.3489	0.6511	0.5347	0.436	0.021	0.0083	1.0	0.0
D0323	0.023	0.977	0.41200000000000003	0.5819	0.0034	0.0027	1.0	0.0
D0206	0.1716	0.8284	0.0718	0.8728	0.0472	0.0082	1.0	0.0
D0267	0.0149	0.9851	0.1553	0.8064	0.0116	0.0266	0.9999	0.0001
D0095	0.48200000000000004	0.518	0.0009	0.0053	0.9907	0.0031	0.9992	0.0008
D0208	0.0352	0.9648	0.9755	0.0245	0.0	0.0	1.0	0.0
D0250	0.0272	0.9728	0.5256	0.275	0.1567	0.0427	0.9997	0.0003
D0045	0.0027	0.9973	0.0005	0.0025	0.9949	0.002	1.0	0.0
D0012	0.1033	0.8967	0.2932	0.4038	0.275	0.027999999999999997	0.9998	0.0002
D0054	0.0422	0.9578	0.5673	0.4184	0.0128	0.0015	1.0	0.0
D0087	0.2091	0.7909	0.1488	0.4357	0.1545	0.261	1.0	0.0
D0138	0.0286	0.9714	0.1286	0.8597	0.001	0.0107	1.0	0.0
D0181	0.7191	0.2809	0.1746	0.2393	0.0793	0.5067	0.9127	0.0873
D0122	0.0007	0.9993	0.1468	0.6766	0.1747	0.0019	1.0	0.0
D0371	0.9986	0.0014	0.4482	0.5451	0.0062	0.0005	1.0	0.0
D0021	0.0525	0.9475	0.7232	0.2669	0.0064	0.0035	1.0	0.0
D0153	0.9975	0.0025	0.003	0.0759	0.9189	0.0022	1.0	0.0
D0128	0.0174	0.9826	0.4206	0.3613	0.2114	0.0067	1.0	0.0
D0129	0.0672	0.9328	0.1242	0.8545	0.0195	0.0019	0.9995	0.0005
D0274	0.0355	0.9645	0.0376	0.9595	0.0008	0.0021	1.0	0.0
D0350	0.0032	0.9968	0.0032	0.0849	0.9111	0.0009	1.0	0.0
D0387	0.9985	0.0015	0.0543	0.6829	0.2577	0.0051	1.0	0.0
D0383	0.1492	0.8508	0.8349	0.1634	0.0008	0.0009	1.0	0.0
D0340	0.0028	0.9972	0.0175	0.0245	0.1439	0.8141	0.9945	0.0055
D0156	0.7191	0.2809	0.1746	0.2393	0.0793	0.5067	0.9127	0.0873
D0294	0.1515	0.8485	0.3761	0.5741	0.0196	0.0302	0.9439	0.0561
D0411	0.3695	0.6305	0.5115	0.4614	0.0024	0.0248	0.9993	0.0007
D0171	0.9987	0.0013	0.0001	0.0003	0.0015	0.9981	0.9979	0.0021
D0192	0.0159	0.9841	0.1529	0.8439	0.0023	0.0009	1.0	0.0
D0253	0.0059	0.9941	0.0729	0.6029	0.2964	0.0277	1.0	0.0
D0377	0.5706	0.4294	0.3457	0.619	0.0256	0.0097	1.0	0.0
D0018	0.7222	0.2778	0.7955	0.19	0.0108	0.0037	0.9679	0.0321
D0258	0.0011	0.9989	0.0464	0.3137	0.5575	0.0824	0.4307	0.5693
D0081	0.0177	0.9823	0.0044	0.0484	0.8685	0.0786	0.9999	0.0001
D0256	0.0184	0.9816	0.0028	0.3923	0.5996	0.0052	1.0	0.0
D0076	0.0302	0.9698	0.0945	0.9042	0.001	0.0002	1.0	0.0
D0259	0.0609	0.9391	0.9001	0.0965	0.0019	0.0016	0.9939	0.0061
D0104	0.1205	0.8795	0.0282	0.1431	0.6614	0.1674	0.9999	0.0001
D0197	0.9959	0.0041	0.2163	0.7076	0.0094	0.0667	0.9995	0.0005
D0006	0.0035	0.9965	0.0008	0.0044	0.8041	0.1907	0.9981	0.0019
D0329	0.0017	0.9983	0.0987	0.6809999999999999	0.1038	0.1165	0.9999	0.0001
D0394	0.0078	0.9922	0.0452	0.8713	0.078	0.0056	1.0	0.0
D0074	0.9907	0.0093	0.0223	0.8096	0.0227	0.1454	1.0	0.0
D0118	0.0081	0.9919	0.9662	0.0337	0.0	0.0001	1.0	0.0
D0164	0.9971	0.0029	0.0011	0.0773	0.5708	0.3508	0.9999	0.0001
D0308	0.2189	0.7811	0.8707	0.1168	0.0028	0.0096	1.0	0.0
D0204	0.0022	0.9978	0.1404	0.5524	0.2721	0.0351	0.9748	0.0252
D0412	0.0139	0.9861	0.0431	0.1691	0.7847	0.0031	0.9998	0.0002
D0032	0.0065	0.9935	0.2955	0.6726	0.0195	0.0124	0.9574	0.0426
D0213	0.9576	0.0424	0.5887	0.2231	0.1572	0.031	0.9843	0.0157
D0427	0.0123	0.9877	0.1987	0.4847	0.2365	0.0801	1.0	0.0
D0013	0.0521	0.9479	0.4169	0.4082	0.1728	0.0021	1.0	0.0
D0295	0.0018	0.9982	0.5053	0.38299999999999995	0.0898	0.0219	0.9996	0.0004
D0375	0.0013	0.9987	0.0601	0.3905	0.3497	0.1997	0.9999	0.0001
D0415	0.9943	0.0057	0.4672	0.5324	0.0003	0.0001	1.0	0.0
D0099	0.0447	0.9553	0.6358	0.34600000000000003	0.0173	0.0009	0.9994	0.0006
D0088	0.1355	0.8645	0.0072	0.9018	0.0887	0.0023	1.0	0.0
D0068	0.0071	0.9929	0.0194	0.3103	0.5627	0.1076	0.9998	0.0002
D0270	0.0027	0.9973	0.027999999999999997	0.4147	0.0597	0.4976	1.0	0.0
D0035	0.9947	0.0053	0.1755	0.7937	0.0265	0.0042	1.0	0.0
D0314	0.067	0.9329999999999999	0.0199	0.873	0.096	0.0111	0.9997	0.0003
D0419	0.1635	0.8365	0.5631	0.4234	0.0079	0.0057	1.0	0.0
D0096	0.0046	0.9954	0.3022	0.6675	0.0232	0.0072	1.0	0.0
D0435	0.0427	0.9573	0.6124	0.1257	0.0539	0.20800000000000002	1.0	0.0
D0101	0.9883	0.0117	0.0093	0.0132	0.8106	0.16699999999999998	0.5792	0.4208
D0132	0.6142	0.3858	0.5172	0.4377	0.0248	0.0203	0.9989	0.0011
D0147	0.1932	0.8068	0.4911	0.5064	0.0011	0.0015	1.0	0.0
D0356	0.0608	0.9392	0.2209	0.2154	0.5572	0.0064	0.9999	0.0001
D0034	0.9991	0.0009	0.0004	0.0133	0.9798	0.0064	1.0	0.0
D0103	0.0988	0.9012	0.402	0.5912	0.0059	0.0009	1.0	0.0
D0212	0.001	0.9990000000000001	0.0297	0.6958	0.2597	0.0148	1.0	0.0
D0252	0.1155	0.8845	0.7163	0.2815	0.001	0.0011	1.0	0.0
D0313	0.0012	0.9988	0.0062	0.0298	0.9511	0.0129	0.6708	0.3292
D0170	0.1955	0.8045	0.9222	0.0757	0.0002	0.0019	0.9996	0.0004
D0146	0.9893	0.0107	0.2386	0.754	0.0057	0.0018	1.0	0.0
D0386	0.9990000000000001	0.001	0.0003	0.0021	0.0008	0.9969	0.9995	0.0005
D0114	0.8449	0.1551	0.3557	0.45	0.0731	0.1212	0.9886	0.0114
D0205	0.0039	0.9961	0.0157	0.2234	0.7499	0.011000000000000001	0.9997	0.0003
D0349	0.1066	0.8934	0.912	0.0851	0.0022	0.0007	0.9993	0.0007
D0345	0.0127	0.9873	0.5584	0.3422	0.0912	0.0082	1.0	0.0
D0378	0.0032	0.9968	0.0002	0.0014	0.6202	0.3782	0.9992	0.0008
D0260	0.0177	0.9823	0.3265	0.6355	0.0293	0.0087	1.0	0.0
D0289	0.9940000000000001	0.006	0.013999999999999999	0.0677	0.0239	0.8945	1.0	0.0
D0024	0.9993	0.0007	0.0381	0.1247	0.1341	0.703	0.9113	0.0887
D0229	0.0133	0.9867	0.1032	0.342	0.4542	0.1006	0.9999	0.0001
D0060	0.7557	0.2443	0.1302	0.5679	0.2619	0.04	0.9991	0.0009
D0121	0.9993	0.0007	0.0002	0.0	0.0162	0.9835	0.5871	0.4129
D0187	0.0856	0.9144	0.0875	0.2404	0.0251	0.6469	0.9992	0.0008
D0025	0.9944	0.0056	0.0235	0.0241	0.0376	0.9148	0.9995	0.0005
D0093	0.006	0.9940000000000001	0.0502	0.3077	0.6396	0.0024	1.0	0.0
D0115	0.0094	0.9906	0.2581	0.7398	0.0018	0.0003	1.0	0.0
D0125	0.4434	0.5566	0.5559	0.4394	0.0007	0.004	0.9999	0.0001
D0185	0.0007	0.9993	0.10400000000000001	0.1549	0.7363	0.0048	1.0	0.0
D0196	0.3285	0.6715	0.2171	0.7181	0.0604	0.0044	1.0	0.0
D0245	0.1169	0.8831	0.0056	0.9229	0.0708	0.0008	1.0	0.0
D0248	0.8239	0.1761	0.0407	0.0642	0.0093	0.8858	0.9715	0.0285
D0265	0.0071	0.9929	0.0129	0.3524	0.6307	0.004	1.0	0.0
D0392	0.3391	0.6609	0.6808	0.1466	0.1605	0.0121	0.0696	0.9304
D0396	0.4404	0.5596	0.9923	0.0046	0.0018	0.0013	0.233	0.767
D0399	0.0051	0.9949	0.2353	0.6968	0.0608	0.006999999999999999	1.0	0.0
D0407	0.0073	0.9927	0.0781	0.8777	0.0394	0.0048	0.9999	0.0001
D0418	0.8511	0.1489	0.1073	0.2975	0.3968	0.1984	0.0189	0.9811
